protocol,config,rate_rps,avg_latency_ms,p99_latency_ms,messages_received
gossipsub,n/a,10,222.41863442105262,224.69728032,19
gossipsub,n/a,50,223.32764768421055,226.01609606,19
gossipsub,n/a,100,222.45576521052632,224.1195881,19
gossipsub,n/a,200,223.51423489473683,225.45447234,19
gossipsub,n/a,400,223.92237821052632,226.44501884,19
optimum-p2p,low_density,10,223.78294836842102,226.18454836,19
optimum-p2p,low_density,50,222.62610705263154,224.473995,19
optimum-p2p,low_density,100,223.94822973684214,227.87861872,19
optimum-p2p,low_density,200,223.57202115789474,226.87667382,19
optimum-p2p,low_density,400,224.0667470526316,228.18619412,19
optimum-p2p,default_density,10,222.56789857894734,224.87132938,19
optimum-p2p,default_density,50,220.61556926315788,222.75052838000002,19
optimum-p2p,default_density,100,220.943155,222.42957632,19
optimum-p2p,default_density,200,221.11362531578945,223.34859394,19
optimum-p2p,default_density,400,224.2044952105263,227.84173950000002,19
optimum-p2p,high_density,10,223.86745326315793,226.22186711999998,19
optimum-p2p,high_density,50,223.2949272105263,225.1214795,19
optimum-p2p,high_density,100,223.48249347368423,225.16028186,19
optimum-p2p,high_density,200,221.38646368421053,224.8073612,19
optimum-p2p,high_density,400,221.03144105263158,223.15722966,19
